AssetID,NetworkID,NetworkContractAddress,UnderlyingAsset,USDStake,Percentage
ETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,ETH,218562088.2243178,92.18631682606494
BTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,BTC,13530564.634809807,5.706995794165116
USD,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,USD,4994689.1123449905,2.10668737976993
